ICME Plasma/Field Start Y/M/D (UT) (b),ICME Plasma/Field End Y/M/D (UT) (b),BDE? (e),Qual. (g),dV (km/s) (h),V_ICME (km/s) (i),V_max (km/s) (j),B (nT) (k),MC? (l),Dst (nT) (m),Normalized_time_interval
1996-05-27 15:00:00,1996-05-29 03:00:00,1,2,1,370,400,9,3,117,1.375
1996-07-01 18:00:00,1996-07-02 11:00:00,1,4,44,360,370,11,3,78,0.5833333333333334
1996-08-07 12:00:00,1996-08-08 10:00:00,1,2,2,350,380,7,3,88,0.7916666666666666
1996-12-23 17:00:00,1996-12-25 11:00:00,1,2,22,360,420,10,3,69,1.625
1997-01-10 04:00:00,1997-01-11 02:00:00,3,1,4,450,460,14,3,191,0.7916666666666666
1997-02-10 02:00:00,1997-02-10 19:00:00,3,2,60,450,600,8,3,178,0.5833333333333334
1997-04-11 06:00:00,1997-04-11 19:00:00,3,1,13,460,470,20,3,197,0.4166666666666667
1997-04-21 10:00:00,1997-04-23 04:00:00,3,2,44,360,420,12,3,15,1.625
1997-05-15 09:00:00,1997-05-16 00:00:00,1,1,15,450,480,21,3,24,0.5
1997-05-26 16:00:00,1997-05-27 10:00:00,3,2,55,340,350,10,4,186,0.625
1997-06-08 18:00:00,1997-06-10 00:00:00,3,4,37,380,400,12,3,199,1.125
1997-06-19 07:00:00,1997-06-20 23:00:00,3,2,50,360,390,8,3,122,1.5416666666666667
1997-07-15 08:00:00,1997-07-16 11:00:00,3,2,57,350,360,10,3,143,1.0
1997-08-03 13:00:00,1997-08-04 03:00:00,3,1,57,400,480,16,3,146,0.4583333333333333
1997-08-17 06:00:00,1997-08-17 20:00:00,1,3,50,390,410,7,1,104,0.4583333333333333
1997-09-03 13:00:00,1997-09-03 21:00:00,3,5,45,410,430,14,2,216,0.20833333333333334
1997-09-21 21:00:00,1997-09-22 16:00:00,1,1,5,440,470,16,3,122,0.6666666666666666
1997-10-01 16:00:00,1997-10-02 23:00:00,3,1,51,450,470,10,3,216,1.1666666666666667
1997-10-10 11:00:00,1997-10-10 22:00:00,3,2,37,430,460,8,2,173,0.3333333333333333
1997-10-10 22:00:00,1997-10-12 00:00:00,3,1,45,400,450,12,3,36,0.9583333333333334
1997-10-27 00:00:00,1997-10-28 07:00:00,3,2,44,500,520,7,2,165,1.1666666666666667
1997-11-07 04:00:00,1997-11-09 12:00:00,3,2,12,400,460,11,3,19,2.2083333333333335
1997-11-22 19:00:00,1997-11-23 14:00:00,3,1,18,510,520,17,3,16,0.6666666666666666
1997-11-24 00:00:00,1997-11-25 00:00:00,3,2,3,530,590,5,1,145,0.875
1997-12-30 10:00:00,1997-12-31 11:00:00,3,4,48,370,410,12,2,190,0.9166666666666666
1998-01-07 01:00:00,1998-01-08 22:00:00,3,2,58,400,410,16,3,190,1.75
1998-01-09 07:00:00,1998-01-10 08:00:00,1,2,1,450,500,6,2,104,0.9166666666666666
1998-01-20 17:00:00,1998-01-21 04:00:00,3,5,47,430,450,5,2,108,0.3333333333333333
1998-01-21 06:00:00,1998-01-22 13:00:00,1,5,1,380,400,13,1,18,1.1666666666666667
1998-01-29 20:00:00,1998-01-31 01:00:00,3,2,38,380,410,7,1,156,1.0833333333333333
1998-02-04 04:00:00,1998-02-05 23:00:00,3,1,47,320,390,11,3,118,1.6666666666666667
