ICME Plasma/Field Start Y/M/D (UT) (b),ICME Plasma/Field End Y/M/D (UT) (b),V_max (km/s) (j),Normalized_time_interval*B (nT) (k)**,Normalized_time_interval*BDE? (e)**,BDE? (e)*B (nT) (k)**,Normalized_time_interval,dV (km/s) (h)*Normalized_time_interval**,BDE? (e),Normalized_time_interval*Dst (nT) (m)**
1996-05-27 15:00:00,1996-05-29 03:00:00,400,12.375,1.375,9,1.375,1.375,1,160.875
1996-07-01 18:00:00,1996-07-02 11:00:00,370,6.416666666666667,0.5833333333333334,11,0.5833333333333334,25.666666666666668,1,45.5
1996-08-07 12:00:00,1996-08-08 10:00:00,380,5.541666666666666,0.7916666666666666,7,0.7916666666666666,1.5833333333333333,1,69.66666666666666
1996-12-23 17:00:00,1996-12-25 11:00:00,420,16.25,1.625,10,1.625,35.75,1,112.125
1997-01-10 04:00:00,1997-01-11 02:00:00,460,11.083333333333332,2.375,42,0.7916666666666666,3.1666666666666665,3,151.20833333333331
1997-02-10 02:00:00,1997-02-10 19:00:00,600,4.666666666666667,1.75,24,0.5833333333333334,35.0,3,103.83333333333334
1997-04-11 06:00:00,1997-04-11 19:00:00,470,8.333333333333334,1.25,60,0.4166666666666667,5.416666666666667,3,82.08333333333334
1997-04-21 10:00:00,1997-04-23 04:00:00,420,19.5,4.875,36,1.625,71.5,3,24.375
1997-05-15 09:00:00,1997-05-16 00:00:00,480,10.5,0.5,21,0.5,7.5,1,12.0
1997-05-26 16:00:00,1997-05-27 10:00:00,350,6.25,1.875,30,0.625,34.375,3,116.25
1997-06-08 18:00:00,1997-06-10 00:00:00,400,13.5,3.375,36,1.125,41.625,3,223.875
1997-06-19 07:00:00,1997-06-20 23:00:00,390,12.333333333333334,4.625,24,1.5416666666666667,77.08333333333334,3,188.08333333333334
1997-07-15 08:00:00,1997-07-16 11:00:00,360,10.0,3.0,30,1.0,57.0,3,143.0
1997-08-03 13:00:00,1997-08-04 03:00:00,480,7.333333333333333,1.375,48,0.4583333333333333,26.125,3,66.91666666666666
1997-08-17 06:00:00,1997-08-17 20:00:00,410,3.208333333333333,0.4583333333333333,7,0.4583333333333333,22.916666666666664,1,47.666666666666664
1997-09-03 13:00:00,1997-09-03 21:00:00,430,2.9166666666666665,0.625,42,0.20833333333333331,9.375,3,44.99999999999999
1997-09-21 21:00:00,1997-09-22 16:00:00,470,10.666666666666666,0.6666666666666666,16,0.6666666666666666,3.333333333333333,1,81.33333333333333
1997-10-01 16:00:00,1997-10-02 23:00:00,470,11.666666666666668,3.5,30,1.1666666666666667,59.50000000000001,3,252.00000000000003
1997-10-10 11:00:00,1997-10-10 22:00:00,460,2.6666666666666665,1.0,24,0.3333333333333333,12.333333333333332,3,57.666666666666664
1997-10-10 22:00:00,1997-10-12 00:00:00,450,11.5,2.875,36,0.9583333333333334,43.125,3,34.5
1997-10-27 00:00:00,1997-10-28 07:00:00,520,8.166666666666668,3.5,21,1.1666666666666667,51.333333333333336,3,192.5
1997-11-07 04:00:00,1997-11-09 12:00:00,460,24.291666666666664,6.624999999999999,33,2.208333333333333,26.499999999999996,3,41.95833333333333
1997-11-22 19:00:00,1997-11-23 14:00:00,520,11.333333333333332,2.0,51,0.6666666666666666,12.0,3,10.666666666666666
1997-11-24 00:00:00,1997-11-25 00:00:00,590,4.375,2.625,15,0.875,2.625,3,126.875
1997-12-30 10:00:00,1997-12-31 11:00:00,410,11.0,2.75,36,0.9166666666666666,44.0,3,174.16666666666666
1998-01-07 01:00:00,1998-01-08 22:00:00,410,28.0,5.25,48,1.75,101.5,3,332.5
1998-01-09 07:00:00,1998-01-10 08:00:00,500,5.5,0.9166666666666666,6,0.9166666666666666,0.9166666666666666,1,95.33333333333333
1998-01-20 17:00:00,1998-01-21 04:00:00,450,1.6666666666666665,1.0,15,0.3333333333333333,15.666666666666666,3,36.0
1998-01-21 06:00:00,1998-01-22 13:00:00,400,15.166666666666668,1.1666666666666667,13,1.1666666666666667,1.1666666666666667,1,21.0
1998-01-29 20:00:00,1998-01-31 01:00:00,410,7.583333333333333,3.25,21,1.0833333333333333,41.166666666666664,3,169.0
1998-02-04 04:00:00,1998-02-05 23:00:00,390,18.333333333333336,5.0,33,1.6666666666666667,78.33333333333334,3,196.66666666666669
1998-02-17 10:00:00,1998-02-17 21:00:00,420,4.0,1.0,36,0.3333333333333333,12.333333333333332,3,2.6666666666666665
1998-02-19 01:00:00,1998-02-20 00:00:00,460,7.5,0.8333333333333334,9,0.8333333333333334,19.166666666666668,1,126.66666666666667
1998-03-04 13:00:00,1998-03-06 09:00:00,380,20.5,1.7083333333333333,12,1.7083333333333333,64.91666666666666,1,208.41666666666666
1998-03-25 13:00:00,1998-03-26 10:00:00,400,7.5,2.25,30,0.75,16.5,3,117.75
1998-03-31 11:00:00,1998-04-03 02:00:00,430,17.5,2.5,7,2.5,92.5,1,300.0
1998-04-11 23:00:00,1998-04-13 18:00:00,390,13.333333333333334,1.6666666666666667,8,1.6666666666666667,36.66666666666667,1,240.0
